DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
14-Jun-2024,2,13,16,24,32,1,7,"TJHX51504",1746
11-Jun-2024,7,15,34,45,48,7,9,"MHHQ42012",1745
07-Jun-2024,15,16,26,30,37,5,8,"HGGP69328",1744
04-Jun-2024,6,7,9,14,43,3,4,"XFGJ15568",1743
31-May-2024,4,7,16,33,34,7,8,"MDFW59706",1742
28-May-2024,16,18,35,36,41,6,7,"MCFL72403",1741
24-May-2024,9,12,18,22,50,1,3,"VBFB54031",1740
21-May-2024,11,13,14,34,48,7,9,"VZDS62828",1739
17-May-2024,18,31,32,41,46,1,10,"ZWCV34866",1738
14-May-2024,2,8,17,28,35,7,9,"VWCX50624",1737
10-May-2024,13,28,29,44,48,4,12,"ZVCN94656",1736
07-May-2024,35,36,41,42,45,6,11,"VTCF14977",1735
03-May-2024,6,9,10,30,49,3,4,"ZSBZ49219",1734
30-Apr-2024,13,22,24,33,47,1,5,"ZRBP55477",1733
26-Apr-2024,2,20,39,40,47,4,8,"HQBB14791,HQBD07795,HQZW37514,MQZZ72135,TQZM16260,TQZZ85050,VQZK16435,VQZL24239,VQZS23927,XQBB97678",1732
23-Apr-2024,6,9,11,32,49,2,10,"TPZG11349",1731
19-Apr-2024,10,20,40,44,46,1,3,"ZNXG32348",1730
16-Apr-2024,22,29,31,39,46,3,7,"XMXB32530",1729
12-Apr-2024,2,3,12,16,45,2,11,"ZLWN91063",1728
09-Apr-2024,19,23,26,27,46,2,10,"VKVV72035",1727
05-Apr-2024,13,18,26,35,37,8,11,"VJVQ14654",1726
02-Apr-2024,1,23,31,36,48,5,8,"JHVH21554",1725
29-Mar-2024,16,17,35,36,49,1,10,"VFTF81881",1724
26-Mar-2024,2,13,14,26,29,5,6,"TFTG63441",1723
22-Mar-2024,8,11,23,32,44,9,10,"ZDTB31606",1722
19-Mar-2024,7,16,18,20,32,1,3,"XVQK28198",1721
15-Mar-2024,1,4,31,34,40,4,5,"JZRN27867",1720
12-Mar-2024,13,19,30,38,46,4,12,"TZRT06068",1719
08-Mar-2024,8,11,12,16,44,4,7,"VXRF83791",1718
05-Mar-2024,2,15,17,23,36,3,8,"TNNF16473",1717
01-Mar-2024,4,7,19,20,34,2,4,"XTQC64674",1716
27-Feb-2024,3,4,9,12,20,5,6,"HTQJ75000",1715
23-Feb-2024,24,27,28,30,49,1,12,"XSPW63863",1714
20-Feb-2024,23,31,37,42,48,3,7,"ZRPN29998",1713
16-Feb-2024,8,13,14,24,26,1,2,"HQPC98478",1712
13-Feb-2024,13,17,18,20,46,4,9,"ZPNR01405",1711
09-Feb-2024,23,24,35,37,45,9,12,"ZNNF46664",1710
06-Feb-2024,2,7,21,28,45,5,11,"VMMT80660",1709
02-Feb-2024,13,20,23,27,42,5,9,"MLMN53073",1708
30-Jan-2024,5,10,19,27,30,5,6,"ZKLZ09716",1707
26-Jan-2024,8,19,32,41,42,9,12,"ZJLH07076",1706
23-Jan-2024,14,23,39,48,50,3,12,"XHLB93292",1705
19-Jan-2024,27,28,44,48,50,7,12,"JCJC64566",1704
16-Jan-2024,10,18,21,33,45,8,12,"XFKD58687",1703
12-Jan-2024,16,17,18,45,49,9,12,"HDKB61301,JDJL23606,MCHZ71207,MDJL54293,MDJX70412,VCHX27490,VDJQ24380,VDJR71692,VDJW25773,XCJJ06576",1702
09-Jan-2024,2,9,12,39,40,1,3,"HCJM97398",1701
05-Jan-2024,4,7,18,39,50,3,8,"HBHT10647",1700
02-Jan-2024,7,15,18,46,49,10,12,"HZHS17203",1699
29-Dec-2023,2,3,19,36,37,6,9,"XWGT98285",1698
26-Dec-2023,8,27,30,35,47,9,10,"MRFC62216",1697
22-Dec-2023,6,14,34,44,49,4,12,"JVGH79636",1696
19-Dec-2023,10,20,41,43,45,2,12,"MTFZ94261",1695
